Script Name,Primary Niche,Secondary Niche,Tertiary Niche,Platform,Priority,Goal,Reasoning

Script 2,Relatable Daily Life Creator,Student/Gen Z Creator,Storytelling Influencer,Instagram Reels,High,Viral,Late night hunger + high relatability
Script 3,Student/Youth Creator,Comedy Creator,Relatable Story Creator,Instagram Reels,High,Viral,Interview urgency + humor
Script 5,Emotional Storytelling Creator,Social Awareness Creator,Local Business Advocate,YouTube Shorts,Medium,Trust,Emotional shopkeeper story
Script 6,Couple/Lifestyle Creator,Relatable Story Creator,Gen Z Creator,Instagram Reels,High,Viral,Date + gifting relatability
Script 7,Couple Content Creator,Comedy Creator,Relatable Lifestyle Creator,Instagram Reels,High,Viral,Girlfriend embarrassment humor
Script 8,Student/Hostel Life Creator,Budget Lifestyle Creator,Relatable Creator,Instagram Reels,High,Viral,End-of-month broke
Script 9,Storytelling Influencer,Family Audience Creator,Relatable Creator,YouTube Shorts,Medium,Trust,Emotional + family tone
Script 10,Family Content Creator,Informational Creator,Social Impact Creator,YouTube Shorts,Medium,Trust,Family discussion format
Script 11,Awareness Creator,Educational Creator,Social Impact Influencer,YouTube Shorts,Medium,Trust,Problem-solution awareness
Script 13,Comedy + Satire Creator,Finance Awareness Creator,Relatable Creator,Instagram Reels,High,Viral,Overpricing humor
Script 14,Comedy Creator,Lazy/Relatable Creator,Gen Z Creator,Instagram Reels,High,Viral,Laziness rant
Script 15,Fashion Influencer,Lifestyle Creator,Female Gen Z Creator,Instagram Reels,Medium,Conversion,Fashion appeal
Script 16,Cinematic Creator,Aesthetic Influencer,Gen Z Trend Creator,YouTube Shorts,Low,Branding,High production aesthetic
Script 17,Finance/Smart Buyer Creator,Value Lifestyle Creator,Tech Savvy Creator,YouTube Shorts,Medium,Conversion,Saving money logic
Script 18,Authentic Female Creator,POV Creator,Relatable Creator,Instagram Reels,Medium,Trust,Raw testimonial
Script 20,Emotional Storytelling Creator,Social Impact Creator,Family Audience Creator,YouTube Shorts,Medium,Trust,Deep emotional
Script 21,Educational Creator,Influencer Mentor Creator,Social Awareness Creator,YouTube Shorts,Medium,Conversion,Shopkeeper education
Script 22,Gossip/Storytelling Creator,Female Lifestyle Creator,Relatable Creator,Instagram Reels,High,Viral,Gossip hook
Script 23,Cinematic Emotional Creator,Social Awareness Creator,Storytelling Influencer,YouTube Shorts,Low,Branding,Dark storytelling
Script 24,Social Awareness Creator,Storytelling Influencer,Local Community Creator,YouTube Shorts,Medium,Trust,Community awareness
Script 25,Emotional Relatable Creator,Storytelling Influencer,Social Awareness Creator,YouTube Shorts,Medium,Trust,Nostalgia connection
Script 26,Small Business Creator,Entrepreneur Creator,Educational Creator,YouTube Shorts,Medium,Conversion,Shopkeeper growth
Script 27,Friends/Conversation Creator,Relatable Creator,Gen Z Creator,Instagram Reels,High,Viral,Friend discussion
Script 28,Awareness Creator,Relatable Creator,Social Impact Creator,YouTube Shorts,Medium,Trust,Local vs online
Script 29,Relatable Lifestyle Creator,Lazy/Convenience Creator,Gen Z Creator,Instagram Reels,High,Viral,Aalas + convenience
Script 30,Daily Life Creator,Relatable Creator,Minimalist Lifestyle Creator,Instagram Reels,Medium,Conversion,Simple use case
Script 31,Educational Creator,Social Awareness Creator,Entrepreneur Creator,YouTube Shorts,Medium,Conversion,Shopkeeper issue
Script 32,Friends/Gen Z Creator,Relatable Creator,Comedy Creator,Instagram Reels,High,Viral,Casual conversation
Script 34,Business/Educational Creator,Entrepreneur Creator,Shopkeeper Audience Creator,YouTube Shorts,Medium,Conversion,B2B focus
Script 35,Work From Home Creator,Relatable Creator,Productivity Creator,Instagram Reels,High,Viral,Snack craving
Script 36,Relatable Daily Life Creator,Student Creator,Productivity Creator,Instagram Reels,High,Viral,Notebook urgency
Script 37,Fashion Influencer,Lifestyle Creator,Female Gen Z Creator,Instagram Reels,Medium,Conversion,Outfit urgency
